Uid,Hashed Id,Total Hours,Total Price,Unit Price,Package,Installments,Crm Deal Id,Discount,Stripe Url,Stripe Customer Id,Extra Student,Active,Created At,Last Updated,Booking Date,Upsell
1,63775706c9ff864c1c0d478a271f5ce2c85614541a73cfc99401b59e,48,13872.0,289.0,6-months-289,6,378710000011374372,,toptutors.dk/order/63775706c9ff864c1c0d478a271f5ce2c85614541a73cfc99401b59e,cus_KuNexDPab39pjI,,True,,,,
12,e41de28dec0ad1587b2d237d7811e9c2e42f5bc25fbe8be485930685,48,13872.0,289.0,6-months-289,6,378710000011696044,,toptutors.dk/order/e41de28dec0ad1587b2d237d7811e9c2e42f5bc25fbe8be485930685,cus_MyXyyGFpJk1Mz0,,False,,,,
2,46c6dc9a226426ab59ee59a22feec9a317391fd9f22f66e1dd3d3f71,48,4800.0,100.0,test-100,6,378710000011374372,,toptutors.dk/order/46c6dc9a226426ab59ee59a22feec9a317391fd9f22f66e1dd3d3f71,cus_KuNexDPab39pjI,,False,,,,
3,aa33b4025072656af2048ec277c0f8bc2b875a42df7f34c824465ff4,48,13872.0,289.0,6-months-289,6,378710000011037174,,toptutors.dk/order/aa33b4025072656af2048ec277c0f8bc2b875a42df7f34c824465ff4,cus_KuNexDPab39pjI,,True,,,,
13,921db8f5676cb9c0e043b1ae94ad715e424c162104da4f820c9a8e03,144,32976.0,229.0,18-months-229,18,378710000011136531,,toptutors.dk/order/921db8f5676cb9c0e043b1ae94ad715e424c162104da4f820c9a8e03,cus_MyvufsjID1y2cl,,True,,,,
4,fc5b78656504f008cc4bf87f2c33ecf67138f9cb6aaaa23da919b211,48,13872.0,289.0,6-months-289,6,378710000011037174,,toptutors.dk/order/fc5b78656504f008cc4bf87f2c33ecf67138f9cb6aaaa23da919b211,cus_MtHTaBNp0syaLk,,False,,,,
17,8009008ce6419a0c35be89326b1b18360c626bfca7f04b23495669cd,144,32976.0,229.0,18-months-229,18,378710000011816101,,toptutors.dk/order/8009008ce6419a0c35be89326b1b18360c626bfca7f04b23495669cd,cus_N3nQDQ99ImXdfB,,False,,,,
5,f3ecada6ade62f2ef592739450a624f46b5f5d3e013dbad60ed00c2a,48,13872.0,289.0,6-months-289,6,378710000010617310,,toptutors.dk/order/f3ecada6ade62f2ef592739450a624f46b5f5d3e013dbad60ed00c2a,cus_KuNexDPab39pjI,,True,,,,
6,3b5b6cc95a613d55be84afcb2cd26f95606602186761a010e4bdc329,48,17978.4,289.0,6-months-289,6,378710000010617310,5,toptutors.dk/order/3b5b6cc95a613d55be84afcb2cd26f95606602186761a010e4bdc329,cus_LHhAuCGxHsRA5C,2,True,,,,
14,9566f0e855013e4dcbe16eac604fac4d1cc73949fc6f8fb3f3838779,48,13872.0,289.0,6-months-289,6,378710000011681447,,toptutors.dk/order/9566f0e855013e4dcbe16eac604fac4d1cc73949fc6f8fb3f3838779,cus_Mzz2cRgXzPq059,,False,,,,
